group_size,random_group,supergroup
1,-173780.448,-184802.7
2,-102226.886,-104232.11
3,-72447.036,-69707.362
4,-51091.96,-51447.156
5,-44919.914,-41842.914
6,-36439.712,-35784.318
7,-31288.898,-32609.922
8,-27789.792,-27445.192
9,-22092.404,-22393.928
10,-20525.95,-22495.196
1,-191732.28,-177454.438
2,-104958.224,-99532.76
3,-73591.176,-69067.37
4,-53481.304,-54623.89
5,-44544.852,-41342.392
6,-36064.04,-33025.658
7,-31258.296,-30890.83
8,-27699.454,-27320.324
9,-23837.014,-24506.704
10,-22167.938,-20251.282
1,-176744.072,-190631.63
2,-103107.88,-102648.94
3,-68706.304,-66927.33
4,-52186.77,-50306.848
5,-43319.858,-44255.178
6,-36037.586,-34592.594
7,-30256.054,-31147.108
8,-23575.538,-29591.398
9,-23049.07,-25576.114
10,-22655.756,-22264.106
1,-187158.586,-185543.998
2,-103306.21,-107367.886
3,-71854.642,-71604.852
4,-53930.836,-53566.114
5,-43369.238,-41637.152
6,-33886.216,-33447.784
7,-29934.146,-29234.504
8,-26231.734,-28093.452
9,-23983.702,-25349.374
10,-24098.018,-22844.294
1,-180295.998,-189144.372
2,-94697.672,-106253.876
3,-68789.172,-71583.966
4,-50355.116,-55081.932
5,-43237.726,-43333.584
6,-34254.094,-33784.634
7,-29653.718,-30170.706
8,-24469.904,-26808.438
9,-24981.052,-23928.312
10,-20415.342,-20109.574
1,-185679.268,-180907.502
2,-98364.61,-104185.286
3,-64031.052,-66790.954
4,-47326.498,-50883.926
5,-44189.962,-40690.746
6,-38397.428,-35600.524
7,-29636.73,-31263.04
8,-26407.478,-28137.808
9,-24316.252,-24434.644
10,-20581.322,-21441.514
1,-171209.008,-196978.274
2,-97535.256,-106021.178
3,-68494.082,-69754.666
4,-51533.114,-55268.432
5,-44389.324,-42444.208
6,-35817.316,-34947.952
7,-32705.046,-30767.016
8,-24990.872,-26315.946
9,-24360.928,-23470.482
10,-21823.42,-22040.364
1,-189219.784,-177201.188
2,-103474.016,-95381.822
3,-69306.548,-72225.014
4,-49111.2,-51839.686
5,-43214.68,-45173.848
6,-36358.392,-38056.962
7,-30684.622,-31102.568
8,-27411.466,-25730.298
9,-26033.024,-23482.086
10,-22295.25,-23623.606
1,-189076.718,-175863.17
2,-97896.092,-99423.798
3,-69005.578,-62146.3
4,-49614.458,-55033.744
5,-41082.204,-44791.204
6,-35833.954,-32857.848
7,-33083.956,-28524.92
8,-25247.162,-25113.062
9,-24233.116,-22498.28
10,-22597.782,-22494.178
1,-176935.422,-191231.8
2,-104551.764,-99154.758
3,-70605.268,-67426.162
4,-53245.362,-46879.298
5,-42531.116,-41988.242
6,-33261.402,-35556.728
7,-30134.164,-33390.076
8,-29276.882,-28868.786
9,-22389.048,-23732.986
10,-21473.888,-22203.938
